City,State,ZIP,county
Perry,GA,31069,Houston County
Ripon,WI,54971,Fond du Lac County
Beaver Dam,WI,53916,Dodge County
Chippewa Falls,WI,54729,Chippewa County
Plymouth,WI,53073,Sheboygan County
River Falls,WI,54022,Pierce County
Sierra Vista,AZ,85635,Cochise County
Fredericksburg,IA,50630,Bremer County
Fraser,MI,48026,Macomb County
Lakeview,MI,48850,Mecosta County
Shakopee,MN,55379,Scott County
Waconia,MN,55387,Carver County
Dimondale,MI,48821,Eaton County
Portland,OR,97231,Columbia County
Monticello,IN,47960,Carroll County
Aurora,CO,80014,Arapahoe County
Kouts,IN,46347,Porter County
Monon,IN,47959,Jasper County
Portage,IN,46368,Porter County
Lafayette,IN,47904,Tippecanoe County
Hilliard,OH,43026,Franklin County
Westville,IN,46391,LaPorte County
Vancouver,WA,98663,Clark County
Chesterton,IN,46304,Porter County
Pleasant Hill,IA,50327,Polk County
Mapleton,IA,51034,Crawford County
Hayti,SD,57241,Hamlin County
Sioux Falls,SD,57103,Minnehaha County
Webster,SD,57274,Clark County
Crowley,TX,76036,Johnson County
Longmont,CO,80501,Boulder County
Pueblo,CO,81008,El Paso County
Pueblo,CO,81005,Pueblo County
Coralville,IA,52241,Johnson County
De Soto,IA,50069,Dallas County
Grinnell,IA,50112,Jasper County
Neola,IA,51559,Harrison County
Colorado Springs,CO,80904,El Paso County
Monroe Center,IL,61052,DeKalb County
Plymouth,IN,46563,Marshall County
Holdrege,NE,68949,Harlan County
Kokomo,IN,46901,Howard County
Portland,OR,97202,Clackamas County
Indianapolis,IN,46254,Marion County
Knoxville,TN,37923,Knox County
Washington,DC,20007,District of Columbia
Johnston,IA,50131,Polk County
Columbia,SC,29201,Richland County
Kyle,TX,78640,Caldwell County
Goodlettsville,TN,37072,Davidson County
Gainesville,FL,32611,Alachua County
Barstow,CA,92311,San Bernardino County
Santa Ana,CA,92704,Orange County
Phoenix,AZ,85040,Maricopa County
Phoenix,AZ,85022,Maricopa County
Phoenix,AZ,85043,Maricopa County
Clovis,NM,88101,Curry County
Las Cruces,NM,88005,Dona Ana County
Roswell,NM,88203,Chaves County
Toledo,OH,43613,Lucas County
Lebanon,TN,37090,Rutherford County
League City,TX,77573,Galveston County
Overbrook,KS,66524,Douglas County
Muskegon,MI,49445,Muskegon County
Southfield,MI,48075,Oakland County
Minneapolis,MN,55403,Hennepin County
Moose Lake,MN,55767,Carlton County
St. Louis Park,MN,55426,Hennepin County
Hayes,VA,23072,Gloucester County
Birmingham,AL,35203,Jefferson County
Vincennes,IN,47591,Knox County
Woodlawn,MD,21207,Baltimore County
York,NE,68467,York County
Arden,NC,28704,Buncombe County
Emmetsburg,IA,50536,Palo Alto County
Traverse City,MI,49684,Benzie County
Rapid City,SD,57703,Pennington County
Jackson,WI,53037,Washington County
West Bend,WI,53095,Ozaukee County
Denver,CO,80222,Arapahoe County
Crystal Lake,IL,60014,McHenry County
Westbrook,MN,56183,Cottonwood County
Mansfield,TX,76063,Ellis County
Athens,GA,30602,Clarke County
Forest Lake,MN,55025,Anoka County
Oconomowoc,WI,53066,Dodge County
Colorado Springs,CO,80907,El Paso County
Denver,CO,80221,Adams County
Longmont,CO,80501,Boulder County
Pueblo,CO,81004,Pueblo County
Thornton,CO,80260,Adams County
Santa Clarita,CA,91355,Los Angeles County
Mansfield,OH,44906,Richland County
New Richmond,WI,54017,Polk County
West Bend,WI,53095,Ozaukee County
Springfield,MO,65804,Greene County
Dublin,OH,43016,Delaware County
Goodlettsville,TN,37072,Davidson County
Fort Collins,CO,80524,Larimer County
Bakersfield,CA,93307,Kern County
Kansas City,MO,64153,Platte County
Tulsa,OK,74129,Tulsa County
Tulsa,OK,74135,Tulsa County
Smyrna,TN,37167,Rutherford County
Antigo,WI,54409,Langlade County
Fairmont,MN,56031,Martin County
Hugo,MN,55038,Anoka County
Ramsey,MN,55303,Anoka County
Crown Point,IN,46307,Lake County
North Judson,IN,46366,Pulaski County
Remington,IN,47977,Benton County
Reno,NV,89512,Washoe County
Cottleville,MO,63376,St. Charles County
Walterboro,SC,29488,Colleton County
Carlsbad,CA,92009,San Diego County
Los Angeles,CA,90049,Los Angeles County
Oceanside,CA,92054,San Diego County
Goshen,IN,46528,Elkhart County
Marion,IN,46952,Blackford County
Beaver Dam,WI,53916,Dodge County
Green Bay,WI,54302,Brown County
Poynette,WI,53955,Columbia County
Watertown,WI,53098,Dodge County
Washington,MO,63090,Franklin County
Sahuarita,AZ,85629,Pima County
Ladson,SC,29456,Berkeley County
Readstown,WI,54652,Vernon County
Verona,WI,53593,Dane County
Chicago,IL,60639,Cook County
San Bernardino,CA,92408,San Bernardino County
Tulsa,OK,74117,Tulsa County
Tulsa,OK,74146,Tulsa County
Vestavia Hills,AL,35216,Jefferson County
Fairview,IL,61432,Fulton County
Springfield,IL,62711,Sangamon County
St. Charles,MO,63301,St. Charles County
Columbus,OH,43240,Delaware County
Sioux Falls,SD,57105,Minnehaha County
Atkinson,NE,68713,Holt County
Spartanburg,SC,29302,Spartanburg County
Nashville,TN,37210,Davidson County
Tucson,AZ,85713,Pima County
Baltic,SD,57003,Minnehaha County
Renville,MN,56277,Renville County
Yuma,CO,80759,Washington County
Sheldon,IA,51201,Lyon County
Normal,IL,61761,McLean County
Sauk Rapids,MN,56379,Benton County
Knoxville,TN,37922,Knox County
Greenville,NC,27834,Edgecombe County
Morganton,NC,28655,Buncombe County
Spindale,NC,28160,Rutherford County
Spruce Pine,NC,28777,Avery County
Burnsville,NC,28714,Buncombe County
Asheville,NC,28803,Buncombe County
Bakersville,NC,28752,McDowell County
Greenbelt,MD,20771,Prince George's County
Niagara Falls,NY,14303,Niagara County
Tempe,AZ,85281,Maricopa County
Riverside,CA,92504,Riverside County
Ypsilanti,MI,48197,Washtenaw County
Bronx,NY,10460,Bronx County
Bronx,NY,10460,Bronx County
Brooklyn,NY,11208,Kings County
Brooklyn,NY,11232,Kings County
Sacramento,CA,95831,Sacramento County
Phoenix,AZ,85007,Maricopa County
Omaha,NE,68137,Douglas County
Grimes,IA,50111,Dallas County
Mason City,IA,50401,Cerro Gordo County
New Market,IA,51646,Taylor County
Norwalk,IA,50211,Madison County
Ottumwa,IA,52501,Mahaska County
Ottumwa,IA,52501,Mahaska County
Red Oak,IA,51566,Montgomery County
Walford,IA,52351,Benton County
West St. Paul,MN,55118,Dakota County
Barberton,OH,44023,Cuyahoga County
Britton,SD,57430,Marshall County
Clark,SD,57225,Clark County
Faulkton,SD,57438,Faulk County
Sioux Falls,SD,57104,Lincoln County
Watertown,SD,57201,Codington County
Johnson Creek,WI,53038,Jefferson County
Prairie Du Chien,WI,53821,Crawford County
Yorkville,IL,61560,Bureau County
St. Paul,MN,55103,Ramsey County
St. Paul,MN,55106,Ramsey County
Concord,CA,94520,Contra Costa County
Cedar Falls,IA,50613,Black Hawk County
Chicago,IL,60618,Cook County
South Burlington,VT,05403,Chittenden County
Lewis Center,OH,43035,Delaware County
Marion,OH,43302,Crawford County
Toledo,OH,43617,Lucas County
Troy,OH,45373,Miami County
Hayward,CA,94541,Alameda County
Hastings,NE,68901,Adams County
Bowling Green,OH,43402,Wood County
Canal Winchester,OH,43110,Fairfield County
Columbus,OH,43230,Franklin County
Dayton,OH,45415,Montgomery County
Franklin,OH,45005,Butler County
Grove City,OH,43123,Franklin County
Huber Heights,OH,45424,Greene County
Union City,GA,30291,Fulton County
Omaha,NE,68130,Douglas County
Massapequa,NY,11758,Nassau County
Atlanta,GA,30329,DeKalb County
Atlanta,GA,30350,DeKalb County
Lawrenceville,GA,30046,Gwinnett County
Stone Mountain,GA,30083,DeKalb County
Portland,OR,97214,Multnomah County
Fulton,MO,65251,Callaway County
St. Louis,MO,63132,St. Louis County
Schenectady,NY,12306,Albany County
Tulare,CA,93274,Kings County
Springfield,MO,65807,Greene County
Springfield,MO,65802,Greene County
Cincinnati,OH,45215,Hamilton County
Cincinnati,OH,45231,Hamilton County
Cincinnati,OH,45244,Clermont County
Cleves,OH,45002,Hamilton County
Marysville,WA,98271,Snohomish County
Frederick,MD,21702,Frederick County
Santa Fe,NM,87506,Santa Fe County
Dearborn,MI,48120,Wayne County
Cypress,TX,77429,Harris County
Houston,TX,77055,Harris County
Milwaukee,WI,53223,Milwaukee County
Chicago,IL,60652,Cook County
Bonita Springs,FL,34135,Collier County
Chicago,IL,60617,Cook County
Chicago,IL,60630,Cook County
Chicago,IL,60624,Cook County
Chicago,IL,60621,Cook County
Chicago,IL,60666,Cook County
Chicago,IL,60609,Cook County
Oklahoma City,OK,73108,Oklahoma County
Ocoee,FL,32835,Orange County
Hastings,MN,55033,Dakota County
Raleigh,NC,27608,Wake County
Phoenix,AZ,85043,Maricopa County
Tempe,AZ,85281,Maricopa County
Chicago,IL,60624,Cook County
Chicago,IL,60621,Cook County
Davey,NE,68336,Lancaster County
Marion,IN,46953,Blackford County
Muncie,IN,47303,Blackford County
Peru,IN,46970,Cass County
Woodland Park,CO,80863,El Paso County
Garden City,KS,67846,Finney County
Elwood,IN,46036,Grant County
Gas City,IN,46933,Grant County
Greencastle,IN,46135,Parke County
Lebanon,IN,46052,Boone County
South Bend,IN,46615,St. Joseph County
Los Angeles,CA,90026,Los Angeles County
Los Angeles,CA,90015,Los Angeles County
Los Angeles,CA,90031,Los Angeles County
Wilmington,CA,90744,Los Angeles County
Van Nuys,CA,91405,Los Angeles County
Sun Valley,CA,91352,Los Angeles County
Los Angeles,CA,90021,Los Angeles County
Los Angeles,CA,90045,Los Angeles County
Indianapolis,IN,46224,Marion County
Indianapolis,IN,46268,Boone County
Marion,IN,46952,Blackford County
Bloomfield Hills,MI,48304,Oakland County
Perry,UT,84302,Box Elder County
Woods Cross,UT,84087,Davis County
Brillion,WI,54110,Brown County
Eau Claire,WI,54701,Dunn County
Oak Creek,WI,53154,Milwaukee County
Stevens Point,WI,54482,Portage County
Tomah,WI,54660,Monroe County
Rochelle,IL,61068,DeKalb County
Annandale,MN,55302,Wright County
Lyle,MN,55953,Freeborn County
Minneapolis,MN,55450,Hennepin County
Morris,MN,56267,Stevens County
Forest City,IA,50436,Hancock County
Sioux City,IA,51101,Woodbury County
Gages Lake,IL,60030,Lake County
Hazel,SD,57242,Codington County
Milbank,SD,57252,Grant County
Colwich,KS,67030,Sedgwick County
Rock Rapids,IA,51246,Lyon County
Garner,IA,50438,Hancock County
Urbandale,IA,50323,Dallas County
Louisville,KY,40213,Jefferson County
St. Bonifacius,MN,55375,Carver County
Findlay,OH,45840,Hancock County
Harrison,OH,45030,Butler County
Slinger,WI,53086,Washington County
New Prague,MN,56071,Le Sueur County
Somerset,WI,54025,St. Croix County
DeKalb,IL,60115,DeKalb County
Menasha,WI,54952,Calumet County
Ferney,SD,57439,Brown County
Bryant,SD,57221,Clark County
El Monte,CA,91731,Los Angeles County
Los Angeles,CA,90021,Los Angeles County
Los Banos,CA,93635,Merced County
Wellington,CO,80549,Larimer County
North Branch,MN,55056,Chisago County
Sheridan Lake,CO,81071,Kiowa County
Sterling,CO,80751,Logan County
Lacey,WA,98503,Thurston County
Birch Run,MI,48415,Genesee County
Nashville,TN,37215,Davidson County
Snoqualmie,WA,98065,King County
Forman,ND,58032,Sargent County
Portland,OR,97214,Multnomah County
Orlando,FL,32811,Orange County
Huntington Beach,CA,92647,Orange County
Carrollton,MO,64633,Carroll County
Irvington,NY,10533,Westchester County
Greeley,CO,80634,Weld County
Parkersburg,IA,50665,Butler County
Edinburgh,IN,46124,Bartholomew County
Grand Blanc,MI,48439,Genesee County
Oak Park,MI,48237,Oakland County
Lindenhurst,NY,11757,Suffolk County
Cumberland,RI,02864,Providence County
San Fernando,CA,91340,Los Angeles County
Evansville,IN,47711,Vanderburgh County
Milwaukee,WI,53207,Milwaukee County
Muncie,IN,47302,Delaware County
Fowler,CO,81039,Crowley County
Idaho Springs,CO,80452,Clear Creek County
Boulder,CO,80301,Boulder County
Corning,IA,50841,Adams County
Dubuque,IA,52002,Dubuque County
Inwood,IA,51240,Lyon County
Newton,IA,50208,Jasper County
Sibley,IA,51249,Lyon County
Sloan,IA,51055,Monona County
Columbus,OH,43212,Franklin County
Baltimore,MD,21235,Baltimore County
Trumansburg,NY,14886,Schuyler County
Maplewood,NJ,07040,Essex County
Colorado Springs,CO,80904,El Paso County
Roselawn,IN,46310,Jasper County
Macon,MO,63552,Macon County
North Highlands,CA,95660,Sacramento County
Peoria,AZ,85385,Maricopa County
Rocklin,CA,95677,Placer County
Charlottesville,VA,22901,Albemarle County
Baltimore,MD,21211,Baltimore city
Glendale,CA,91204,Los Angeles County
Homewood,IL,60430,Cook County
Oak Park,IL,60302,Cook County
Flushing,NY,11354,Queens County
Ukiah,CA,95482,Mendocino County
Vacaville,CA,95688,Solano County
Auburn,CA,95603,Placer County
Davis,CA,95616,Solano County
Davis,CA,95616,Solano County
Davis,CA,95616,Solano County
Davis,CA,95618,Solano County
Davis,CA,95618,Solano County
King City,CA,93930,Monterey County
Lakewood,CA,90712,Los Angeles County
West Chicago,IL,60185,DuPage County
Minot AFB,ND,58704,Ward County
Los Angeles,CA,90045,Los Angeles County
Burbank,CA,91502,Los Angeles County
Glendale,AZ,85309,Maricopa County
Pasadena,CA,91109,Los Angeles County
San Diego,CA,92126,San Diego County
Twentynine Palms,CA,92278,San Bernardino County
Camp Lejeune,NC,28542,Onslow County
Cherry Point,NC,28533,Craven County
Princeton,NJ,08453,#N/A
Charleston,SC,29404,Charleston County
Eglin AFB,FL,32542,Okaloosa County
Tampa,FL,33621,Hillsborough County
Quantico,VA,22134,Prince William County
Cheyenne,WY,82001,Laramie County
Sacramento,CA,95828,Sacramento County
Sacramento,CA,95826,Sacramento County
Citrus Heights,CA,95610,Sacramento County
Elk Grove,CA,95624,Sacramento County
Gaithersburg,MD,20878,Montgomery County
Camp Lejeune,NC,28542,Onslow County
Princeton,NJ,08453,#N/A
Larkspur,CA,94939,Marin County
Oakland,CA,94621,Alameda County
Port St. Lucie,FL,34984,St. Lucie County
College Park,GA,30337,Clayton County
Seattle,WA,98188,King County
Wichita,KS,67216,Sedgwick County
Clinton Township,MI,48043,Macomb County
Corunna,MI,48817,Shiawassee County
Flint,MI,48507,Genesee County
Holly,MI,48442,Genesee County
Marysville,MI,48040,St. Clair County
Saginaw,MI,48604,Bay County
Warren,MI,48092,Macomb County
Zeeland,MI,49464,Allegan County
Republic,MO,65738,Christian County
Boulder,CO,80301,Boulder County
Colorado Springs,CO,80907,El Paso County
Williamsburg,IA,52361,Iowa County
East Dundee,IL,60118,Cook County
Glen Carbon,IL,62034,Madison County
Kewanee,IL,61443,Henry County
Urbana,IL,61802,Champaign County
Cambridge City,IN,47327,Fayette County
Roanoke,IN,46783,Allen County
Wichita,KS,67203,Sedgwick County
Somerset,PA,15501,Somerset County
Waterfall,PA,16689,Fulton County
Denmark,SC,29042,Bamberg County
St. Matthews,SC,29135,Calhoun County
Santee,SC,29142,Orangeburg County
Summerton,SC,29148,Clarendon County
Walterboro,SC,29488,Colleton County
Yemassee,SC,29945,Beaufort County
Elk Point,SD,57025,Union County
Columbia,TN,38401,Marshall County
Lewisburg,TN,37091,Bedford County
Spring,TX,77379,Harris County
Menomonie,WI,54751,Dunn County
Sun Prairie,WI,53590,Dane County
Geneva,NE,68361,Fillmore County
Kearney,NE,68847,Buffalo County
Minden,NE,68959,Kearney County
Ravenna,NE,68869,Buffalo County
Albany,NY,12209,Albany County
Bedford Hills,NY,10507,Westchester County
Cheektowaga,NY,14225,Erie County
Syracuse,NY,13206,Onondaga County
Latham,NY,12110,Albany County
Newburgh,NY,12550,Orange County
Piketon,OH,45601,Jackson County
Sylvania,OH,43560,Lucas County
Westerville,OH,43081,Delaware County
Owasso,OK,74055,Rogers County
Council Bluffs,IA,51503,Mills County
Slayton,MN,56172,Murray County
Fisher,MN,56723,Polk County
Sterling,VA,20166,Loudoun County
Winchester,VA,22603,Frederick County
Corona,CA,92879,Riverside County
Oklahoma City,OK,73159,Cleveland County
Stillwater,OK,74075,Noble County
Grand Junction,CO,81504,Mesa County
Salt Lake City,UT,84107,Salt Lake County
Brentwood,MO,63144,St. Louis County
Richmond,MO,64085,Ray County
Virginia Beach,VA,23460,Virginia Beach city
Broomfield,CO,80020,Adams County
Colorado Springs,CO,80907,El Paso County
Greeley,CO,80631,Weld County
San Francisco,CA,94107,San Francisco County
Sterling,VA,20163,#N/A
Champaign,IL,61820,Champaign County
Waterloo,IN,46793,DeKalb County
Sacramento,CA,95834,Sacramento County
Lisle,IL,60532,DuPage County
Hutchinson,KS,67501,Reno County
Carrollton,MO,64633,Carroll County
Rochester,NY,14624,Monroe County
Oshkosh,WI,54902,Winnebago County
Zanesville,OH,43701,Muskingum County
Frazeysburg,OH,43822,Coshocton County
Kalispell,MT,59901,Flathead County
Columbia Falls,MT,59912,Flathead County
Eureka,MT,59917,Flathead County
Garrison,ND,58540,McLean County
Towner,ND,58788,McHenry County
Ames,IA,50011,Story County
Westhope,ND,58793,Bottineau County
Bottineau,ND,58318,Bottineau County
Fruitland,NM,87416,San Juan County
Larchmont,NY,10538,Westchester County
West Nyack,NY,10994,Rockland County
Valley,AL,36854,Chambers County
Wetumpka,AL,36092,Elmore County
Pelham,AL,35124,Shelby County
Rainbow City,AL,35906,Etowah County
Ranburne,AL,36273,Cleburne County
Roanoke,AL,36274,Chambers County
Robertsdale,AL,36567,Baldwin County
Tuscumbia,AL,35674,Colbert County
Union Springs,AL,36089,Bullock County
Huntsville,AL,35806,Madison County
Ider,AL,35981,DeKalb County
Mobile,AL,36604,Mobile County
Montgomery,AL,36108,Montgomery County
Oxford,AL,36203,Calhoun County
Gardendale,AL,35071,Jefferson County
Grove Hill,AL,36451,Clarke County
Boaz,AL,35956,DeKalb County
Brundidge,AL,36010,Coffee County
Centre,AL,35960,Cherokee County
Clanton,AL,35045,Chilton County
Clanton,AL,35045,Chilton County
Arab,AL,35016,Blount County
Auburn,AL,36832,Lee County
Boise,ID,83702,Ada County
Jackson,MS,39209,Hinds County
Salt Lake City,UT,84111,Salt Lake County
Minot,ND,58701,Ward County
Effingham,IL,62401,Effingham County
Flora,IL,62839,Clay County
Seattle,WA,98108,King County
Louisville,KY,40222,Jefferson County
Bally,PA,19503,Berks County
Croton-on-Hudson,NY,10520,Westchester County
Cedarburg,WI,53012,Ozaukee County
Mequon,WI,53097,Ozaukee County
Galt,CA,95632,Sacramento County
Seattle,WA,98108,King County
Tacoma,WA,98409,Pierce County
Fayetteville,TN,37334,Bedford County
Morrison,TN,37357,Cannon County
Lineville,AL,36266,Clay County
Midland,MI,48642,Bay County
Show Low,AZ,85901,Apache County
Springfield,MO,65803,Greene County
Springfield,MO,65807,Greene County
Springfield,MO,65803,Greene County
Omaha,NE,68116,Douglas County
Papillion,NE,68128,Douglas County
Lone Chimney,OK,74058,Pawnee County
Elk Grove,CA,95624,Sacramento County
Sacramento,CA,95816,Sacramento County
Conifer,CO,80433,Douglas County
Ankeny,IA,50023,Polk County
Clear Lake,IA,50428,Cerro Gordo County
Des Moines,IA,50317,Polk County
Johnston,IA,50131,Polk County
Bentonville,AR,72712,Benton County
Lowell,AR,72745,Benton County
Springdale,AR,72764,Benton County
Tipton,IA,52772,Cedar County
Fairfield,CA,94534,Solano County
Piedmont,SC,29673,Anderson County
Spartanburg,SC,29301,Spartanburg County
Spartanburg,SC,29301,Spartanburg County
Davenport,IA,52806,Scott County
Albuquerque,NM,87116,Bernalillo County
Atlanta,GA,30328,DeKalb County
Silverdale,WA,98315,Kitsap County
Silverdale,WA,98315,Kitsap County
Woodland,CA,95776,Yolo County
Charlotte,NC,28217,Mecklenburg County
Commerce City,CO,80022,Adams County
Riverside,CA,92509,Riverside County
City of Industry,CA,91748,Los Angeles County
Jackson,MI,49202,Jackson County
Mt. Pleasant,MI,48858,Isabella County
Southgate,MI,48195,Wayne County
St. Clair Shores,MI,48080,Macomb County
Wixom,MI,48393,Oakland County
Atlanta,GA,30318,Fulton County
Battle Creek,MI,49015,Calhoun County
Clare,MI,48617,Clare County
Fenton,MI,48430,Genesee County
Gaylord,MI,49735,Otsego County
St. Ann,MO,63074,St. Louis County
Bridgeton,MO,63044,St. Louis County
Algona,IA,50511,Kossuth County
Clarinda,IA,51632,Page County
Davenport,IA,52806,Scott County
Holstein,IA,51025,Cherokee County
Lake Mills,IA,50450,Winnebago County
Manning,IA,51455,Audubon County
Marion,IA,52302,Linn County
Washington,IA,52353,Washington County
Los Angeles,CA,90035,Los Angeles County
Boise,ID,83713,Ada County
Los Angeles,CA,90031,Los Angeles County
Los Angeles,CA,90031,Los Angeles County
Apopka,FL,32703,Orange County
Raeford,NC,28376,Hoke County
Robbinsville,NC,28771,Graham County
Rockingham,NC,28379,Richmond County
Rosman,NC,28772,Transylvania County
Salisbury,NC,28147,Rowan County
Sanford,NC,27330,Chatham County
Shallotte,NC,28470,Brunswick County
Siler City,NC,27344,Alamance County
Smithfield,NC,27577,Johnston County
Sparta,NC,28675,Alleghany County
Swan Quarter,NC,27885,Hyde County
Sylvia,NC,28779,Haywood County
Kinston,NC,28501,Craven County
Lenoir,NC,28645,Burke County
Lexington,NC,27292,Davidson County
Lillington,NC,27546,Harnett County
Lumberton,NC,28360,Robeson County
Manteo,NC,27954,Dare County
Marble,NC,28905,Cherokee County
Marshall,NC,28753,Buncombe County
Maury,NC,28580,Greene County
McLeansville,NC,27301,Guilford County
Mocksville,NC,27028,Davie County
North Wilkesboro,NC,28659,Wilkes County
Nashville,NC,27856,Nash County
New Bern,NC,28560,Craven County
Charlotte,NC,28213,Cabarrus County
Newland,NC,28657,Avery County
Newport,NC,28570,Carteret County
Creswell,NC,27928,Tyrrell County
Dobson,NC,27017,Alleghany County
Edenton,NC,27932,Chowan County
Elizabeth City,NC,27909,Camden County
Elizabethtown,NC,28337,Bladen County
Fayetteville,NC,28306,Bladen County
Franklin,NC,28734,Clay County
Gatesville,NC,27938,Gates County
Goldsboro,NC,27534,Greene County
Graham,NC,27253,Alamance County
Grantsboro,NC,28529,Pamlico County
Halifax,NC,27839,Halifax County
Poplar Branch,NC,27966,Currituck County
Hayesville,NC,28904,Clay County
Hendersonville,NC,28791,Buncombe County
Hertford,NC,27944,Chowan County
Hillsborough,NC,27278,Durham County
Jackson,NC,27845,Northampton County
Jacksonville,NC,28540,Onslow County
Kenansville,NC,28349,Duplin County
Ahoskie,NC,27910,Bertie County
Albemarle,NC,28001,Stanly County
Asheboro,NC,27205,Randolph County
Boone,NC,28607,Watauga County
Bryson City,NC,28713,Macon County
Burgaw,NC,28425,Pender County
Carthage,NC,28327,Moore County
Castle Hayne,NC,28429,New Hanover County
Clinton,NC,28328,Sampson County
Columbus,NC,28472,Columbus County
Columbus,NC,28722,Polk County
Tarboro,NC,27886,Edgecombe County
Trenton,NC,28585,Jones County
Wadesboro,NC,28135,Anson County
Wagram,NC,28396,Scotland County
Walnut Cove,NC,27052,Forsyth County
Washington,NC,27889,Beaufort County
Waynesville,NC,28721,Buncombe County
Wentworth,NC,27320,Caswell County
West Jefferson,NC,27406,Guilford County
Williamston,NC,27892,Martin County
Williamston,NC,27892,Martin County
Wilson,NC,27896,Nash County
Windsor,NC,27983,Bertie County
Yadkinville,NC,27055,Davie County
Yanceyville,NC,27370,Randolph County
Waco,TX,76711,McLennan County
Wichita Falls,TX,76301,Wichita County
Wylie,TX,75098,Collin County
Harlingen,TX,78552,Cameron County
Jasper,TX,75951,Jasper County
Knox City,TX,79529,Knox County
Lake Dallas,TX,76210,Denton County
Longview,TX,75604,Gregg County
Lubbock,TX,79401,Lubbock County
Lumberton,TX,77657,Hardin County
Marble Falls,TX,78654,Burnet County
New Caney,TX,77357,Harris County
New Waverly,TX,77358,Montgomery County
Onalaska,TX,77360,Polk County
Pipe Creek,TX,78063,Bandera County
Port Lavaca,TX,77979,Calhoun County
Prosper,TX,75078,Collin County
Abilene,TX,79602,Callahan County
Abilene,TX,79601,Callahan County
Alpine,TX,79830,Brewster County
Alvin,TX,77511,Brazoria County
Athens,TX,75752,Anderson County
Bacliff,TX,77518,Galveston County
Bonham,TX,75418,Fannin County
Cisco,TX,76437,Callahan County
Corpus Christi,TX,78418,Nueces County
Dallas,TX,75232,Dallas County
Dublin,TX,76446,Comanche County
El Paso,TX,79927,El Paso County
Forney,TX,75126,Kaufman County
Lincoln,NE,68528,Lancaster County
Kennewick,WA,99336,Benton County
Rancho Cordova,CA,95670,Sacramento County
Sacramento,CA,95826,Sacramento County
West Sacramento,CA,95691,Yolo County
Vacaville,CA,95688,Solano County
Benson,NC,27504,Harnett County
Spring Branch,TX,78070,Blanco County
San Antonio,TX,78205,Bexar County
Pearcy,AR,71964,Garland County
Wasco,CA,93280,Kern County
Manitowoc,WI,54220,Manitowoc County
Oshkosh,WI,54901,Winnebago County
Reedsburg,WI,53959,Sauk County
Eden,WI,53019,Fond du Lac County
Janesville,WI,53548,Rock County
Lena,WI,54139,Oconto County
Eau Claire,WI,54701,Dunn County
Salem,OR,97303,Marion County
Beaverton,OR,97006,Washington County
Marlow,OK,73055,Comanche County
Easley,SC,29642,Anderson County
Mt. Crawford,VA,22841,Augusta County
Auburn,WA,98002,King County
Chehalis,WA,98532,Lewis County
Antigo,WI,54409,Langlade County
Superior,WI,54880,Douglas County
Brainerd,MN,56401,Cass County
Inver Grove Heights,MN,55077,Dakota County
Olive Branch,MS,38654,DeSoto County
Burnsville,NC,28714,Buncombe County
Greensboro,NC,27405,Guilford County
Springfield,IL,62707,Sangamon County
Taylorville,IL,62568,Christian County
Toledo,IL,62468,Cumberland County
Urbana,IL,61802,Champaign County
Wichita,KS,67219,Sedgwick County
Mt. Washington,KY,40047,Bullitt County
Jacksonville,FL,32219,Duval County
Stuart,FL,34997,Martin County
Avoca,IA,51521,Pottawattamie County
Dubuque,IA,52003,Dubuque County
Keokuk,IA,52632,Lee County
Manchester,IA,52057,Delaware County
Effingham,IL,62401,Effingham County
Jonesboro,AR,72401,Craighead County
Yuma,AZ,85366,Yuma County
Cannon AFB,NM,88103,Curry County
Fuquay Varina,NC,27526,Harnett County
Platteville,WI,53818,Grant County
Peru,IN,46970,Cass County
Marion,IN,46953,Blackford County
San Juan Capistrano,CA,92675,Orange County
Portland,ME,04103,Cumberland County
Mauston,WI,53948,Juneau County
Kingston,TN,37763,Roane County
Perris,CA,92570,Riverside County
North Las Vegas,NV,89081,Clark County
Marshall,MI,49068,Calhoun County
Battle Creek,MI,49017,Barry County
Long Beach,WA,98631,Pacific County
Burlington,VT,05401,Chittenden County
Evanston,WY,82930,Uinta County
Montclair,NJ,07042,Essex County
Bronx,NY,10455,Bronx County
Point Lookout,NY,11569,Nassau County
Wyandanch,NY,11798,Suffolk County
Portland,OR,97218,Multnomah County
Bryn Mawr,PA,19010,Delaware County
State College,PA,16801,Centre County
West Chester,PA,19382,Chester County
Fort Collins,CO,80525,Larimer County
Anniston,AL,36207,Calhoun County
La Quinta,CA,92253,Riverside County
Wilmington,CA,90744,Los Angeles County
Wilmington,CA,90744,Los Angeles County
Porterville,CA,93257,Tulare County
Fairfield,CT,06824,Fairfield County
Washington,DC,20018,District of Columbia
Milwaukee,WI,53207,Milwaukee County
Waukesha,WI,53186,Waukesha County
Wichita,KS,67203,Sedgwick County
Turlock,CA,95382,Stanislaus County
Farmington,CA,95236,Calaveras County
Elkhorn,WI,53121,Walworth County
Howard,WI,54313,Brown County
La Crosse,WI,54601,La Crosse County
Pomona,CA,91767,Los Angeles County
San Jose,CA,95112,Santa Clara County
Beaumont,CA,92223,Riverside County
Sturgis,SD,57785,Lawrence County
Paso Robles,CA,93446,San Luis Obispo County
Sioux Falls,SD,57106,Lincoln County
Fox Lake,WI,53933,Dodge County
Shiloh,IL,62269,Madison County
Annawan,IL,61234,Henry County
